training_iteration,timesteps_total,timesteps_this_iter,episodes_total,episodes_this_iter,episode_len_mean,episode_reward_mean,episode_reward_min,episode_reward_max,success_mean,success_phase1_mean,success_qtr_mean,full_success_mean,phase2_started_mean,nav_hits_mean_mean,nav_hits_r0_mean,nav_hits_r1_mean,dual_stagnation_steps_mean,entropy,policy_loss,vf_loss,vf_explained_var,kl,cur_kl_coeff,entropy_coeff_used,iter_time_s,wall_time_s_total
54,349137,6478,587,10,605.53,773.1682654984547,-175.2925495820557,2595.865318307273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5497564072702446,-0.002648349144203844,1.8121335966914307,0.46140918462884195,0.019643153146642837,0.004999999999999999,0.015257253282819913,162.3749737800099,8829.623251155252
55,355456,6319,597,10,608.91,759.156105277929,-192.2207617046278,2595.865318307273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08303245639801,-0.0015630883146077394,1.6876240630149841,0.5198598754405975,0.018310310351896588,0.005,0.015180967016405814,163.03342235507444,8992.656673510326
56,361786,6330,608,11,605.59,793.7207200656818,-192.2207617046278,2182.3055156916535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.134127628326416,-0.0027107388740405442,1.6637627222537994,0.42227473616600036,0.023056113389416454,0.005,0.015105062181323785,160.50307488511316,9153.15974839544
57,368204,6418,618,10,607.84,838.2874496764191,-192.2207617046278,2182.3055156916535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.255702520819272,0.0014769109568613418,1.7283109854249392,0.18231921990712482,0.014986760818026275,0.004999999999999999,0.015029536870417165,167.6263337850105,9320.78608218045
58,374426,6222,629,11,614.32,827.4920669012695,-192.2207617046278,2182.3055156916535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.439357098754572,-0.0024825189215112098,1.7049456275239283,0.5327491403842459,0.020303214030779077,0.005,0.014954389186065078,165.2140518031083,9486.000133983558
59,380756,6330,640,11,608.79,807.6157630336874,-192.2207617046278,2182.3055156916535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.912757759094238,0.0010372834163717925,1.722244556427002,0.5281706635951996,0.014897170922865534,0.005,0.014879617240134754,160.33812455809675,9646.338258541655
60,387496,6740,651,11,608.79,823.170624137838,-192.2207617046278,2182.3055156916535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.399113167033477,0.0018387480273696721,1.7400774333991256,0.4412571247886209,0.01639803019092755,0.004999999999999999,0.01480521915393408,169.90118960198015,9816.239448143635
61,393749,6253,662,11,602.86,854.571834394843,-203.90140903250614,2182.3055156916535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.015264059572804,9.27327808981039e-05,1.7903527284155087,0.5646500582597693,0.012409153721463975,0.005,0.014731193058164409,161.2494101980701,9977.488858341705
62,400231,6482,672,10,608.22,831.1974192707236,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.585330747155583,-0.0008149373363338265,1.6998821625522538,0.4994954665501912,0.018672467518129295,0.004999999999999999,0.014657537092873587,162.79625251004472,10140.28511085175
63,406648,6417,683,11,601.11,783.9234223745916,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.867943323135377,7.441172562539578e-05,1.6735590116977692,0.4421819711923599,0.021001498978411977,0.005,0.01458424940740922,161.35043187090196,10301.635542722652
64,413148,6500,693,10,601.11,789.3828103459264,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.610691853130565,-0.00018285042366615552,1.7414778555140775,0.5298010265125948,0.01963577252022755,0.004999999999999999,0.014511328160372174,170.83902480779216,10472.474567530444
65,419368,6220,704,11,593.62,829.5041482356478,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.862694632277197,-0.0030504914741887124,1.7915481937174895,0.517112266530796,0.017839443773372564,0.005,0.014438771519570313,158.00008164392784,10630.474649174372
66,425868,6500,714,10,601.82,797.0286534887908,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.274584888009464,-0.0001162243491111725,1.6603578801248589,0.576923362530914,0.019029533401802648,0.004999999999999999,0.014366577661972461,170.29929061001167,10800.773939784383
67,432368,6500,724,10,610.64,777.3850428787265,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518282461166383,0.00205506655278013,1.6314472247572507,0.4670608408310834,0.015715141144386914,0.004999999999999999,0.014294744773662599,163.39407574897632,10964.16801553336
68,438569,6201,734,10,608.93,826.4415669951923,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.227051311609697,-0.003121208958802935,1.73350673646343,0.5424225422800804,0.017831326153710483,0.005,0.014223271049794286,159.05306579195894,11123.221081325319
69,445069,6500,744,10,617.13,842.4367446484649,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.273773814182656,-0.0009433277485453907,1.7118671529433307,0.46098817820642507,0.021679995622768195,0.004999999999999999,0.014152154694545314,166.52772163483314,11289.748802960152
70,451415,6346,754,10,619.69,898.096527590844,-219.88049904000718,2218.7742826235617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9834002532958985,-0.003704588031861931,1.6654522545337678,0.6452860143184662,0.019568969304209243,0.005,0.014081393921072587,160.794584864052,11450.543387824204
71,457691,6276,764,10,626.42,925.784892590938,-219.88049904000718,2298.2315048520913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.580323623180389,-0.00156635605962947,1.8599136872291564,0.4828166427612305,0.01910983684193474,0.005,0.014010986951467224,159.98311847215518,11610.526506296359
72,464183,6492,776,12,617.62,973.0627618687193,-127.09455049098216,2298.2315048520913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.317092938516654,-0.0011196447093514542,1.7769832884564118,0.5183139049539379,0.01940381589440469,0.004999999999999999,0.013940932016709888,165.88556121615693,11776.412067512516
73,470715,6532,787,11,614.67,1010.3819476644462,-127.09455049098216,2298.2315048520913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.779790683319935,-0.00031606624296937996,1.8348641705054503,0.5639127552509308,0.018459865211761583,0.004999999999999999,0.01387122735662634,166.39204432396218,11942.804111836478
74,477330,6615,798,11,614.38,1017.1270811801629,-127.09455049098216,2298.2315048520913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.639678263664246,0.0008932579004277403,1.7349060723414789,0.611806282057212,0.021497752196481798,0.004999999999999999,0.013801871219843208,168.07355341711082,12110.877665253589
